2024-07-03 18:16:51.828 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 'complete' triggers.
2024-07-03 18:16:51.923 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 stale fired job entries.
2024-07-03 18:16:52.655 [RMI TCP Connection(9)-127.0.0.1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-03 18:16:52.655 [RMI TCP Connection(9)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2024-07-03 18:16:52.656 [RMI TCP Connection(9)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2024-07-03 18:16:54.829 [SpringApplicationShutdownHook] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Shutting down Quartz Scheduler
2024-07-03 18:19:48.355 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] - The Class-Path manifest attribute in /Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xalan-2.7.2.jar referenced one or more files that do not exist: file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/serializer.jar
2024-07-03 18:19:48.357 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] - The Class-Path manifest attribute in /Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/serializer/2.7.2/serializer-2.7.2.jar referenced one or more files that do not exist: file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/serializer/2.7.2/xml-apis.jar
2024-07-03 18:19:48.357 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-03 18:19:48.357 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-03 18:19:49.090 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9999 (http)
2024-07-03 18:19:49.094 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-07-03 18:19:49.094 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 18:19:49.120 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 18:19:49.120 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 763 ms
2024-07-03 18:19:56.633 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Using db table-based data access locking (synchronization).
2024-07-03 18:19:56.635 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - JobStoreCMT initialized.
2024-07-03 18:19:58.082 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-07-03 18:19:58.107 [restartedMain] INFO  [o.s.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1ff610a9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@50600b55, org.springframework.security.web.context.SecurityContextHolderFilter@3c61db27, org.springframework.security.web.header.HeaderWriterFilter@1a2ae423, org.springframework.security.web.authentication.logout.LogoutFilter@2782b6b, com.redpig.security.filter.JwtAuthenticationTokenFilter@5e9bcd07, com.redpig.security.filter.LoginAuthenticationFilter@4c6b5b6a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@67e98c9d, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2bd5bed3, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@63376916, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@17b160c9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@47a18ae1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@335dec86, org.springframework.security.web.access.ExceptionTranslationFilter@75901c3a, org.springframework.security.web.access.intercept.AuthorizationFilter@1ec63096]
2024-07-03 18:19:58.267 [restartedMain] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2024-07-03 18:19:58.314 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 9999 (http) with context path ''
2024-07-03 18:19:58.315 [restartedMain] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Starting Quartz Scheduler now
2024-07-03 18:19:58.893 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Freed 0 triggers from 'acquired' / 'blocked' state.
2024-07-03 18:19:59.133 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovering 0 jobs that were in-progress at the time of the last shut-down.
2024-07-03 18:19:59.133 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovery complete.
2024-07-03 18:19:59.231 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 'complete' triggers.
2024-07-03 18:19:59.360 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 stale fired job entries.
2024-07-03 18:19:59.949 [RMI TCP Connection(2)-127.0.0.1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-03 18:19:59.949 [RMI TCP Connection(2)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
